city,locality,area_sqft,bhk,bath,floor,age_years,price_lakhs
bangalore,Indiranagar,1800,3,3,2,5,250.0
bangalore,Whitefield,1250,2,2,8,3,85.5
bangalore,HSR Layout,1500,3,3,4,6,135.0
bangalore,Koramangala,2200,4,4,1,12,310.0
bangalore,Electronic City,1050,2,2,12,4,55.2
bangalore,Jayanagar,2400,4,4,2,15,350.0
bangalore,Marathahalli,1350,3,2,5,7,95.0
bangalore,Hebbal,1650,3,3,15,2,145.5
bangalore,Bannerghatta Road,1400,3,2,10,8,110.0
bangalore,Sarjapur Road,1200,2,2,6,4,82.0
bangalore,Malleshwaram,1900,3,3,3,20,275.0
bangalore,Banashankari,1100,2,2,2,10,78.5
bangalore,BTM Layout,1300,3,2,4,12,105.0
bangalore,Yelahanka,1550,3,3,14,3,98.0
bangalore,Rajajinagar,2100,4,3,2,18,290.0
bangalore,Bellandur,1450,3,3,9,5,115.0
bangalore,Kalyan Nagar,1600,3,3,4,7,125.0
bangalore,Vidyaranyapura,1000,2,2,1,12,65.0
bangalore,Basavanagudi,2500,4,4,1,25,380.0
bangalore,Sahakara Nagar,1750,3,3,5,6,155.0
bangalore,Frazer Town,2000,3,3,2,22,295.0
bangalore,Cooke Town,1850,3,3,3,15,260.0
bangalore,Brookefield,1400,3,2,7,8,102.0
bangalore,Hoodi,1150,2,2,11,4,72.5
bangalore,Kadugodi,1250,2,2,13,5,78.0
bangalore,Kanakapura Road,1450,3,2,18,3,92.5
bangalore,Thanisandra,1320,3,2,12,2,88.0
bangalore,Nagawara,1100,2,1,8,10,68.0
bangalore,RT Nagar,1500,3,3,4,14,140.0
bangalore,Sanjay Nagar,1650,3,3,3,12,175.0
bangalore,Sadashiva Nagar,3500,5,5,2,10,850.0
bangalore,Lavelle Road,3200,4,4,5,15,1200.0
bangalore,Cunningham Road,2800,4,4,4,20,950.0
bangalore,Ulsoor,1700,3,3,2,18,220.0
bangalore,Domlur,1600,3,2,3,12,185.0
bangalore,Old Airport Road,1900,3,3,6,10,195.0
bangalore,CV Raman Nagar,1400,3,2,5,9,112.0
bangalore,Kaggadasapura,1200,2,2,4,11,75.0
bangalore,Varthur,1100,2,2,14,2,62.0
bangalore,Gunnur,1500,3,3,10,1,85.0
bangalore,Budigere,1400,3,2,15,1,72.0
bangalore,Devanahalli,2200,4,4,2,2,125.0
bangalore,Hennur,1550,3,3,8,5,108.0
bangalore,Horamavu,1300,3,2,4,6,85.0
bangalore,Ramamurthy Nagar,1250,2,2,3,12,74.0
bangalore,Kasturi Nagar,1450,3,3,5,8,115.0
bangalore,HRBR Layout,2000,4,3,2,14,210.0
bangalore,Kammanahalli,1350,2,2,3,15,110.0
bangalore,Banaswadi,1400,3,2,4,12,118.0
