city,locality,area_sqft,bhk,bath,floor,age_years,price_lakhs
chandigarh,Sector 5,4000,6,6,1,15,4500.00
chandigarh,Sector 8,3500,5,5,2,10,3200.00
chandigarh,Sector 9,3800,5,5,1,20,3800.00
chandigarh,Sector 10,3200,4,4,2,25,2800.00
chandigarh,Sector 11,3000,4,4,1,12,2500.00
chandigarh,Sector 15,1200,3,2,3,28,145.00
chandigarh,Sector 16,1800,3,3,2,22,210.00
chandigarh,Sector 17,1400,2,2,4,30,185.00
chandigarh,Sector 19,1600,3,3,1,25,195.00
chandigarh,Sector 20,1350,3,2,3,20,165.00
chandigarh,Sector 21,2400,4,4,2,18,310.00
chandigarh,Sector 22,1100,2,2,4,28,135.00
chandigarh,Sector 27,1500,3,3,2,15,175.00
chandigarh,Sector 32,1450,3,2,3,22,155.00
chandigarh,Sector 33,2200,4,4,1,12,285.00
chandigarh,Sector 34,1300,3,2,5,20,140.00
chandigarh,Sector 35,2100,4,3,2,18,350.00
chandigarh,Sector 36,1900,3,3,3,14,265.00
chandigarh,Sector 37,1550,3,3,2,10,185.00
chandigarh,Sector 38,1400,3,2,4,15,160.00
chandigarh,Sector 40,1250,2,2,3,20,125.00
chandigarh,Sector 41,950,2,2,2,25,85.00
chandigarh,Sector 42,1600,3,3,4,12,210.00
chandigarh,Sector 43,1800,3,3,2,10,245.00
chandigarh,Sector 44,1400,3,2,1,18,165.00
chandigarh,Sector 45,1150,2,2,3,22,95.00
chandigarh,Sector 46,1300,3,2,2,20,115.00
chandigarh,Sector 47,1200,2,2,4,15,110.00
chandigarh,Sector 48,1100,2,2,3,8,185.00
chandigarh,Sector 49,1500,3,3,2,5,280.00
chandigarh,Sector 50,1150,3,4,2,6,190.00
chandigarh,Sector 51,1100,2,2,1,4,180.00
chandigarh,Sector 61,724,1,1,2,10,75.00
chandigarh,New Chandigarh,1400,3,3,5,2,95.00
chandigarh,New Chandigarh,1200,2,2,8,3,85.00
chandigarh,Eco City 1,1050,2,2,10,5,55.00
chandigarh,Mullanpur,2000,3,2,0,1,130.00
chandigarh,Manimajra,1350,3,2,4,20,115.00
chandigarh,Manimajra,1100,2,2,2,25,85.00
chandigarh,Modern Housing Complex,1132,2,2,3,15,140.00
chandigarh,Zirakpur,1250,3,3,1,2,72.00
chandigarh,Zirakpur,1500,3,3,4,5,85.00
chandigarh,VIP Road,1488,3,2,6,8,82.00
chandigarh,Patiala Road,1540,3,3,2,4,78.00
chandigarh,Dera Bassi,958,3,1,1,10,30.00
chandigarh,Dera Bassi,1100,2,2,4,12,45.00
chandigarh,Panchkula Sector 20,2050,3,3,2,8,160.00
chandigarh,Mohali Sector 69,1800,3,3,3,5,185.00
chandigarh,Nayagaon,900,2,1,2,15,45.00
chandigarh,Chandigarh Airport Area,1200,2,2,5,3,60.00
chandigarh,Sector 5,3800,6,5,0,20,4200.00
chandigarh,Sector 8,2800,4,4,1,15,2200.00
chandigarh,Sector 9,3500,5,5,1,12,3100.00
chandigarh,Sector 10,3000,4,4,2,18,2400.00
chandigarh,Sector 11,2500,4,4,4,5,275.00
chandigarh,Sector 15,1100,2,2,2,25,120.00
chandigarh,Sector 16,1600,3,3,1,20,195.00
chandigarh,Sector 17,1300,3,2,3,30,165.00
chandigarh,Sector 19,1500,3,3,2,12,185.00
chandigarh,Sector 20,1200,2,2,4,28,145.00
chandigarh,Sector 21,2100,4,4,1,10,290.00
chandigarh,Sector 22,1050,2,2,3,30,115.00
chandigarh,Sector 27,1400,3,3,2,22,160.00
chandigarh,Sector 32,1350,3,2,5,15,140.00
chandigarh,Sector 33,1800,3,3,2,25,210.00
chandigarh,Sector 34,1200,2,2,4,28,125.00
chandigarh,Sector 35,1600,3,3,1,18,245.00
chandigarh,Sector 36,1800,4,3,2,12,310.00
chandigarh,Sector 37,1450,3,3,3,15,175.00
chandigarh,Sector 38,1300,3,2,5,20,150.00
chandigarh,Sector 40,1150,2,2,2,22,110.00
chandigarh,Sector 41,900,2,1,1,30,75.00
chandigarh,Sector 42,1500,3,3,3,14,195.00
chandigarh,Sector 43,1700,3,2,1,25,260.00
chandigarh,Sector 44,1500,3,2,2,10,400.00
chandigarh,Sector 45,1500,3,2,1,12,250.00
chandigarh,Sector 46,1250,3,2,4,18,135.00
chandigarh,Sector 47,1280,2,2,5,9,180.00
chandigarh,Sector 48,1100,2,2,1,12,165.00
chandigarh,Sector 49,1500,3,3,3,4,275.00
chandigarh,Sector 50,1100,2,2,2,15,190.00
chandigarh,Sector 51,1150,2,2,1,2,210.00
chandigarh,New Chandigarh,837,2,2,12,1,66.70
chandigarh,New Chandigarh,1305,2,2,14,2,120.00
chandigarh,New Chandigarh,950,2,2,10,3,101.00
