city,locality,area_sqft,bhk,bath,floor,age_years,price_lakhs
chennai,adyar,1800,3,3,4,5,280.0
chennai,besant nagar,2200,4,4,3,10,410.0
chennai,mylapore,1400,3,3,2,25,195.0
chennai,t nagar,1600,3,3,5,15,240.0
chennai,velachery,1200,2,2,8,6,110.0
chennai,thiruvanmiyur,1500,3,3,4,12,185.0
chennai,omr,1350,3,2,12,4,95.5
chennai,ecr,3500,5,5,2,3,650.0
chennai,perungudi,1100,2,2,10,5,88.0
chennai,sholinganallur,1450,3,3,15,2,105.0
chennai,madipakkam,1000,2,2,3,8,65.0
chennai,nanganallur,1250,3,2,2,20,95.0
chennai,anna nagar,2400,4,4,4,10,480.0
chennai,mogappair,1300,3,2,5,7,115.0
chennai,ambattur,950,2,1,4,15,55.0
chennai,avadi,1050,2,2,3,12,48.0
chennai,porur,1200,2,2,6,5,78.5
chennai,iyappanthangal,1400,3,3,4,4,85.0
chennai,poonamallee,1150,2,2,2,10,58.0
chennai,valasaravakkam,1650,3,3,3,18,145.0
chennai,virugambakkam,1500,3,2,4,20,135.0
chennai,kk nagar,1700,3,3,5,15,185.0
chennai,ashok nagar,1850,3,3,4,22,210.0
chennai,kodambakkam,1100,2,2,3,28,110.0
chennai,vadapalani,1350,3,2,5,12,125.0
chennai,nungambakkam,2000,3,3,6,20,350.0
chennai,egmore,1900,3,3,8,25,290.0
chennai,kilpauk,2100,4,4,5,18,320.0
chennai,purasaiwakkam,1400,3,2,3,30,165.0
chennai,perambur,1200,2,2,4,22,85.0
chennai,kolathur,1300,3,2,3,10,92.0
chennai,villivakkam,1100,2,1,2,25,68.0
chennai,anna nagar west,1800,3,3,12,6,220.0
chennai,chromepet,1000,2,2,3,15,62.0
chennai,tambaram,1400,3,3,4,10,88.0
chennai,pallavaram,1150,2,2,5,12,68.5
chennai,selaiyur,1350,3,2,3,5,75.0
chennai,medavakkam,1250,2,2,4,3,65.0
chennai,pallikaranai,1500,3,3,5,4,82.0
chennai,karapakkam,1400,3,2,14,5,98.0
chennai,thuraipakkam,1600,3,3,10,6,120.0
chennai,navalur,1800,3,3,20,2,115.0
chennai,siruseri,1550,3,3,18,3,88.0
chennai,kelambakkam,1200,2,2,8,5,52.0
chennai,kovilambakkam,1100,2,2,4,10,58.0
chennai,pammal,1050,2,1,2,15,45.0
chennai,chitlapakkam,1450,3,3,3,12,95.0
chennai,east tambaram,1300,3,2,2,20,72.0
chennai,perungalathur,1200,2,2,4,5,58.0
chennai,urapakkam,1400,3,3,5,3,62.0
chennai,guduvanchery,1100,2,2,2,8,42.0
chennai,maraimalai nagar,1500,3,3,2,10,55.0
chennai,singaperumal koil,1250,2,2,1,12,40.0
chennai,chengalpattu,1350,3,2,2,15,48.0
chennai,manapakkam,1600,3,3,5,5,120.0
chennai,mugalivakkam,1450,3,3,4,8,98.0
chennai,ramapuram,1200,2,2,5,15,82.0
chennai,nandambakkam,1800,3,3,3,12,165.0
chennai,alwarpet,2500,4,4,5,18,550.0
chennai,ra puram,2300,4,3,4,20,480.0
chennai,mandaveli,1700,3,3,3,25,260.0
chennai,kotturpuram,2800,4,4,6,10,520.0
chennai,guindy,1500,3,2,10,12,180.0
chennai,saidapet,1100,2,1,4,30,95.0
chennai,jafferkhanpet,1000,2,2,3,25,72.0
chennai,ekkatuthangal,1300,2,2,5,15,98.0
chennai,st thomas mount,1400,3,2,3,22,125.0
chennai,puzhuthivakkam,1200,2,2,4,10,78.0
chennai,maduvankarai,900,2,1,2,30,55.0
chennai,adyar,850,1,1,3,15,105.0
chennai,thiruvanmiyur,2200,4,4,10,5,320.0
chennai,velachery,1600,3,3,7,8,145.0
chennai,pallikaranai,1100,2,2,4,6,62.0
chennai,medavakkam,1450,3,3,5,2,78.0
chennai,perumbakkam,1300,3,2,10,4,68.0
chennai,sholinganallur,1700,3,3,18,1,125.0
chennai,semmancheri,1250,2,2,12,3,65.0
chennai,navalur,2100,4,4,25,2,155.0
chennai,padur,1150,2,2,15,5,52.0
chennai,siruseri,1400,3,2,12,4,75.0
chennai,kelambakkam,1350,3,3,5,10,62.0
chennai,thiruporur,1200,2,2,2,5,42.0
chennai,ecr road,4000,6,6,2,5,950.0
chennai,neelankarai,3200,4,4,2,8,580.0
chennai,palavakkam,2800,4,4,2,12,450.0
chennai,kottivakkam,2500,4,3,2,15,380.0
chennai,injambakkam,3000,4,4,2,10,520.0
chennai,akkarai,3800,5,5,2,2,820.0
chennai,kanathur,2600,4,4,2,5,290.0
chennai,muttukadu,3300,4,4,2,7,350.0
chennai,kovalam,2400,3,3,2,10,180.0
chennai,anna nagar east,1900,3,3,4,12,310.0
chennai,shenoy nagar,1750,3,3,3,18,265.0
chennai,aminjikarai,1200,2,2,4,25,115.0
chennai,arum bakkam,1400,3,2,5,20,135.0
chennai,choolaimedu,1100,2,2,3,28,105.0
chennai,chetpet,2200,4,4,6,15,420.0
chennai,kilpauk garden,2600,4,4,4,10,510.0
chennai,purasaiwakkam,1350,3,3,3,22,145.0
chennai,vepery,1500,3,2,5,28,160.0
chennai,sowcarpet,900,2,1,3,40,110.0
chennai,george town,1100,2,2,4,40,95.0
chennai,royapuram,1200,2,2,3,35,82.0
chennai,washermanpet,1000,2,1,2,30,65.0
chennai,tondiarpet,1300,3,2,3,25,75.0
chennai,madhavaram,1450,3,3,4,8,88.0
chennai,red hills,1600,3,3,2,10,72.0
chennai,manali,1100,2,2,2,20,45.0
chennai,ponneri,1250,2,2,2,15,38.0
chennai,tiruvottiyur,1350,3,2,3,22,65.0
chennai,kodungaiyur,1150,2,2,4,18,58.0
chennai,vyasarpadi,1000,2,1,3,25,52.0
chennai,otteri,1100,2,2,3,30,78.0
chennai,ayyanavaram,1400,3,3,4,20,125.0
chennai,villivakkam,1250,2,2,3,22,88.0
chennai,padi,1050,2,1,4,15,62.0
chennai,korattur,1350,3,2,5,12,78.0
chennai,ambattur ot,1100,2,2,3,20,55.0
chennai,mannurpet,1200,2,2,4,18,58.0
chennai,mogappair west,1600,3,3,8,5,135.0
chennai,mogappair east,1500,3,2,6,10,125.0
chennai,nolambur,1750,3,3,5,6,115.0
chennai,athipattu,1400,3,2,4,12,65.0
chennai,thiruverkadu,1300,2,2,3,10,58.0
chennai,ayappakkam,1450,3,3,2,8,68.0
chennai,vanagaram,1600,3,3,4,5,85.0
chennai,maduravoyal,1200,2,2,5,10,72.0
chennai,alakapakkam,1100,2,2,3,12,52.0
chennai,valasaravakkam,1800,3,3,4,15,165.0
chennai,virugambakkam,1550,3,2,3,20,145.0
chennai,saligramam,1400,3,3,5,18,130.0
chennai,ashok nagar,1200,2,2,4,25,165.0
chennai,t nagar,800,1,1,5,30,120.0
chennai,west mambalam,1100,2,2,3,28,145.0
chennai,tnagar,2500,4,4,10,12,580.0
chennai,teynampet,1700,3,3,6,22,240.0
chennai,alwarpet,3000,4,4,8,15,750.0
chennai,mylapore,1000,2,1,2,35,145.0
chennai,san thome,2100,3,3,4,20,380.0
chennai,mandaveli,1350,2,2,3,25,210.0
chennai,ra puram,1900,3,3,5,18,340.0
chennai,kotturpuram,2400,4,4,4,12,480.0
chennai,adyar,1500,3,2,4,20,245.0
chennai,kasturba nagar,1750,3,3,3,15,310.0
chennai,gandhi nagar,2200,4,4,4,22,420.0
chennai,indira nagar,1850,3,3,5,12,325.0
chennai,shastri nagar,2000,3,3,4,18,360.0
chennai,besant nagar,1600,3,2,3,25,320.0
chennai,thiruvanmiyur,1300,2,2,5,15,165.0
chennai,kalakshetra colony,2600,4,4,2,10,550.0
chennai,perungudi,1550,3,3,12,4,115.0
chennai,kandanchavadi,1200,2,2,8,8,95.0
chennai,taramani,1100,2,2,6,12,85.0
