city,locality,area_sqft,bhk,bath,floor,age_years,price_lakhs
delhi,Vasant Kunj,1200,2,2,2,10,145.5
delhi,Rohini Sector 13,850,2,2,3,15,65.2
delhi,Dwarka Sector 6,1450,3,3,5,8,125.0
delhi,South Extension,1800,3,3,1,12,310.0
delhi,Janakpuri,1100,2,2,0,20,95.5
delhi,Greater Kailash,2400,4,4,2,5,550.0
delhi,Laxmi Nagar,650,2,1,2,12,38.0
delhi,Pitampura,1350,3,2,4,10,155.0
delhi,Uttam Nagar,450,1,1,1,5,22.4
delhi,Saket,1600,3,3,3,7,210.0
delhi,Mayur Vihar Phase 1,1250,3,2,4,18,115.0
delhi,Punjabi Bagh,2100,4,3,1,15,420.0
delhi,Hauz Khas,2800,4,4,2,8,750.0
delhi,Paschim Vihar,1400,3,3,5,10,140.0
delhi,Malviya Nagar,1200,2,2,2,12,135.0
delhi,Chittaranjan Park,1700,3,3,1,14,285.0
delhi,Patparganj,1150,2,2,7,16,85.0
delhi,Karol Bagh,1300,3,2,2,25,160.0
delhi,Model Town,2200,4,4,3,10,380.0
delhi,Shahdara,750,2,1,3,20,45.0
delhi,Defence Colony,3200,5,5,1,10,950.0
delhi,Green Park,2500,4,4,2,6,620.0
delhi,Shalimar Bagh,1500,3,3,4,12,175.0
delhi,Dilshad Garden,900,2,2,2,22,55.0
delhi,Vikaspuri,1100,2,2,3,14,88.0
delhi,Safdarjung Enclave,2000,3,3,2,9,480.0
delhi,Sarita Vihar,1300,3,2,4,20,130.0
delhi,Kalkaji,1050,2,2,1,18,92.0
delhi,Rajouri Garden,1650,3,3,2,11,225.0
delhi,Okhla Phase 1,800,2,2,5,8,60.0
delhi,Gulmohar Park,3500,5,5,3,4,1200.0
delhi,Sunder Nagar,3800,6,6,1,25,2500.0
delhi,New Rajendra Nagar,1450,3,3,2,15,240.0
delhi,Preet Vihar,1550,3,3,2,12,195.0
delhi,Mehrauli,550,1,1,3,10,32.0
delhi,Sainik Farms,4000,5,6,0,12,850.0
delhi,Civil Lines,2600,4,4,2,18,510.0
delhi,Alaknanda,1200,2,2,6,20,118.0
delhi,Kirti Nagar,1750,3,3,1,10,265.0
delhi,Nizamuddin East,3000,4,5,2,22,1100.0
delhi,East of Kailash,1400,3,2,2,15,190.0
delhi,Hari Nagar,950,2,2,1,14,75.0
delhi,Palam,600,2,1,2,8,35.0
delhi,Govindpuri,400,1,1,4,12,18.5
delhi,Siddharth Extension,1100,2,2,3,25,120.0
delhi,Jangpura,1500,3,3,1,20,280.0
delhi,Sukhdev Vihar,1800,3,3,2,15,340.0
delhi,Jasola,1350,3,3,8,12,155.0
delhi,Greater Kailash 2,2800,4,4,3,8,720.0
delhi,Vasant Vihar,3600,5,5,2,12,1800.0
delhi,Dwarka Sector 10,1650,3,3,10,5,160.0
delhi,Rohini Sector 24,1100,3,2,4,6,82.0
delhi,Burari,700,2,2,2,4,38.0
delhi,Najafgarh,1000,3,2,1,10,48.0
delhi,Badarpur,500,2,1,3,15,24.0
delhi,Moti Bagh,2200,4,4,2,20,410.0
delhi,Naraina,1300,3,2,2,18,145.0
delhi,Tagore Garden,1450,3,3,1,15,170.0
delhi,Bali Nagar,1600,3,3,2,12,210.0
delhi,Kailash Colony,2100,4,4,3,9,490.0
delhi,Nehru Enclave,1900,3,3,2,14,350.0
delhi,Hemkunt Colony,2300,4,4,1,10,510.0
delhi,CR Park,1600,3,3,3,15,260.0
delhi,Gagan Vihar,1200,3,2,2,20,110.0
delhi,Surajmal Vihar,1500,3,3,2,18,185.0
