city,locality,area_sqft,bhk,bath,floor,age_years,price_lakhs
hyderabad,jubilee hills,3500,5,5,2,5,1250.0
hyderabad,banjara hills,3200,4,4,3,8,950.0
hyderabad,gachibowli,1800,3,3,12,4,165.5
hyderabad,kondapur,1550,3,3,8,2,115.0
hyderabad,madhapur,1400,2,2,10,6,125.0
hyderabad,hitech city,2200,3,3,15,3,210.0
hyderabad,kukatpally,1200,2,2,5,10,85.5
hyderabad,miyapur,1100,2,2,4,12,65.0
hyderabad,manikonda,1650,3,3,6,5,98.5
hyderabad,uppal,1000,2,2,3,15,55.0
hyderabad,lb nagar,1300,3,2,2,20,68.0
hyderabad,ameerpet,900,2,2,4,25,75.0
hyderabad,begumpet,1750,3,3,5,18,140.0
hyderabad,somajiguda,2000,3,3,7,12,185.0
hyderabad,himayatnagar,1450,3,3,4,15,110.0
hyderabad,nallakunta,1200,2,2,3,22,82.0
hyderabad,tarnaka,1350,3,2,2,14,78.0
hyderabad,dilsukhnagar,1150,2,2,4,18,62.5
hyderabad,attapur,1500,3,3,5,7,88.0
hyderabad,mehdipatnam,1400,3,2,3,12,92.0
hyderabad,abids,1800,3,3,6,28,155.0
hyderabad,kothapet,1250,2,2,5,10,72.0
hyderabad,nagole,1100,2,2,4,8,58.0
hyderabad,moula ali,1050,2,2,2,15,48.0
hyderabad,ecil,1400,3,3,3,12,78.5
hyderabad,sainikpuri,2500,4,4,2,10,175.0
hyderabad,as rao nagar,1800,3,3,4,15,115.0
hyderabad,alwal,1300,3,2,2,18,65.0
hyderabad,kompally,2400,4,4,2,5,160.0
hyderabad,bowenpally,1500,3,3,3,20,95.0
hyderabad,nizampet,1450,3,3,12,4,82.5
hyderabad,bachupally,1350,3,2,10,2,68.0
hyderabad,beeramguda,1200,2,2,5,3,52.0
hyderabad,tellapur,2800,4,4,15,1,240.0
hyderabad,narsingi,2100,3,3,18,2,175.0
hyderabad,kokapet,3200,4,4,25,1,450.0
hyderabad,puppalguda,1700,3,3,14,3,135.0
hyderabad,nallagandla,1900,3,3,20,4,155.0
hyderabad,lingampally,1100,2,2,5,15,58.0
hyderabad,chandanagar,1300,3,2,6,12,74.0
hyderabad,hafeezpet,1250,2,2,8,7,85.0
hyderabad,moosapet,1000,2,1,4,18,52.0
hyderabad,balanagar,950,2,2,3,25,48.0
hyderabad,jeedimetla,1200,2,2,4,20,55.0
hyderabad,shaikpet,2300,4,4,15,6,225.0
hyderabad,tolichowki,1600,3,3,5,14,105.0
hyderabad,nanakramguda,2600,4,4,30,2,310.0
hyderabad,financial district,2000,3,3,35,3,260.0
hyderabad,gachibowli,900,1,1,12,5,78.0
hyderabad,kondapur,1200,2,2,10,8,92.0
hyderabad,madhapur,1850,3,3,14,4,168.0
hyderabad,kukatpally,2200,4,4,10,12,145.0
hyderabad,jubilee hills,4000,6,6,3,10,1800.0
hyderabad,banjara hills,3800,5,6,4,12,1450.0
hyderabad,sr nagar,1100,2,2,4,22,78.0
hyderabad,yousufguda,1050,2,2,5,15,72.0
hyderabad,borabanda,800,2,1,3,20,42.0
hyderabad,moti nagar,1350,3,3,6,10,88.0
hyderabad,erragadda,1100,2,2,4,25,58.0
hyderabad,sanath nagar,1250,2,2,5,20,72.0
hyderabad,punjagutta,1600,3,3,8,15,155.0
hyderabad,khairatabad,1400,3,2,6,22,115.0
hyderabad,lakdikapul,1300,2,2,5,30,98.0
hyderabad,koti,1100,2,2,3,30,85.0
hyderabad,malakpet,1500,3,3,4,20,88.0
hyderabad,saidabad,1400,3,2,3,18,78.0
hyderabad,santosh nagar,1200,2,2,2,25,62.0
hyderabad,chandrayangutta,1300,3,3,2,28,55.0
hyderabad,falaknuma,1500,3,2,2,30,65.0
hyderabad,charminar,1000,2,1,2,30,52.0
hyderabad,bahadurpura,1100,2,2,2,25,48.0
hyderabad,uppuguda,950,2,1,2,22,42.0
hyderabad,yakutpura,1050,2,2,2,28,45.0
hyderabad,amberpet,1250,3,2,4,18,72.0
hyderabad,kachiguda,1150,2,2,5,25,82.0
