city,locality,area_sqft,bhk,bath,floor,age_years,price_lakhs
jaipur,c scheme,2800,4,4,5,2,360.0
jaipur,c scheme,1850,3,3,8,12,245.5
jaipur,civil lines,3200,4,4,2,10,380.0
jaipur,civil lines,1500,2,2,4,22,165.0
jaipur,malviya nagar,1200,2,2,3,15,85.0
jaipur,malviya nagar,2200,4,4,6,4,210.0
jaipur,vaishali nagar,1650,3,3,9,1,115.0
jaipur,vaishali nagar,2400,4,4,12,5,185.0
jaipur,mansarovar,1100,2,2,2,18,62.0
jaipur,mansarovar,1950,3,3,5,8,125.0
jaipur,jagatpura,1450,3,3,10,3,88.5
jaipur,jagatpura,950,2,2,7,6,52.0
jaipur,raja park,2100,3,3,3,25,180.0
jaipur,bani park,1750,3,3,4,20,135.0
jaipur,bani park,2600,4,4,5,12,215.0
jaipur,ajmer road,1300,2,2,15,2,65.0
jaipur,ajmer road,1800,3,3,18,4,98.5
jaipur,tonk road,2050,4,4,11,7,145.0
jaipur,tonk road,1600,3,2,14,3,110.0
jaipur,nirman nagar,1550,3,3,4,10,112.0
jaipur,shyam nagar,2300,4,4,2,12,220.0
jaipur,gopalpura bypass,1400,3,3,5,9,98.0
jaipur,pratap nagar,1150,2,2,4,8,55.0
jaipur,jhotwara,1250,3,2,3,15,62.0
jaipur,vidhyadhar nagar,1700,3,3,6,11,125.0
jaipur,bapu nagar,2400,4,4,2,24,285.0
jaipur,jawahar nagar,1900,3,3,4,18,175.0
jaipur,gandhi path,1500,3,3,5,2,92.0
jaipur,sirsi road,1350,3,2,8,4,72.5
jaipur,kalwar road,1000,2,2,4,6,38.0
jaipur,sanganer,1100,2,1,2,14,45.0
jaipur,patrakar colony,1420,3,3,5,5,82.0
jaipur,durgapura,2000,4,4,3,10,165.0
jaipur,hanumant nagar,2150,4,4,2,15,195.0
jaipur,muralipura,1200,2,2,3,20,58.0
jaipur,chitrakoot,1550,3,3,4,12,118.0
jaipur,tilak nagar,2500,4,4,3,21,295.0
jaipur,shastri nagar,1400,3,2,6,15,88.0
