city,locality,area_sqft,bhk,bath,floor,age_years,price_lakhs
kolkata,Ballygunge,2200,4,4,3,15,450.00
kolkata,New Town,1150,2,2,12,4,72.50
kolkata,Salt Lake Sector V,1450,3,3,8,10,115.00
kolkata,Tollygunge,1050,2,2,4,20,65.00
kolkata,Alipore,3200,5,5,2,25,850.00
kolkata,Park Street,1800,3,3,5,40,320.00
kolkata,Rajarhat,1300,3,2,10,3,85.00
kolkata,Kasba,950,2,2,4,12,58.00
kolkata,Jadavpur,1100,2,2,3,22,62.00
kolkata,Behala,1000,2,2,2,18,45.00
kolkata,Garia,1200,3,2,5,15,68.50
kolkata,Lake Town,1350,3,3,4,20,95.00
kolkata,Dum Dum,1100,2,2,6,12,52.00
kolkata,Kaikhali,1050,2,2,8,5,48.00
kolkata,Baguiati,950,2,1,4,15,42.50
kolkata,Salt Lake Sector I,1600,3,3,3,35,160.00
kolkata,Salt Lake Sector II,1500,3,3,2,30,145.00
kolkata,Salt Lake Sector III,1700,3,3,3,25,185.00
kolkata,Em Bypass,1900,3,3,15,8,210.00
kolkata,Mukundapur,1250,2,2,10,5,78.00
kolkata,Ruby Area,1400,3,3,7,12,125.00
kolkata,Bhowanipore,1600,3,3,4,30,195.00
kolkata,Elgin Road,2000,4,4,5,25,380.00
kolkata,Southern Avenue,2400,4,4,8,15,550.00
kolkata,Lansdowne,1850,3,3,3,28,275.00
kolkata,Prince Anwar Shah Road,1550,3,3,18,6,175.00
kolkata,Selimpur,1100,2,2,4,18,72.00
kolkata,Dhakuria,1250,3,2,2,25,88.00
kolkata,Golf Green,1400,3,3,3,30,110.00
kolkata,Bansdroni,1000,2,2,4,12,48.00
kolkata,Narendrapur,1150,2,2,12,2,55.00
kolkata,Sonarpur,1050,2,2,5,8,42.00
kolkata,Baruipur,1200,3,2,3,5,38.00
kolkata,Chinar Park,1250,2,2,9,6,68.00
kolkata,Action Area 1,1400,3,3,14,5,98.00
kolkata,Action Area 2,1600,3,3,18,3,115.00
kolkata,Action Area 3,1800,4,3,22,2,145.00
kolkata,Sodepur,1100,2,2,4,15,35.00
kolkata,Madhyamgram,1050,2,2,5,10,32.00
kolkata,Barasat,1200,3,2,4,12,36.00
kolkata,Cossipore,1300,3,3,10,8,75.00
kolkata,Shyam Bazaar,1400,3,2,3,50,110.00
kolkata,Hatibagan,1100,2,2,2,45,85.00
kolkata,Ultadanga,1250,2,2,5,20,92.00
kolkata,Phoolbagan,1500,3,3,8,12,165.00
kolkata,Kankurgachi,1650,3,3,6,15,190.00
kolkata,Maniktala,1350,3,2,4,25,120.00
kolkata,Girish Park,1200,2,2,3,60,95.00
kolkata,Burrabazar,900,2,1,5,70,115.00
kolkata,Bowbazar,1100,2,2,4,55,88.00
kolkata,College Street,1200,3,2,3,65,105.00
kolkata,Tangra,1300,3,3,12,5,82.00
kolkata,Topsia,1450,3,3,15,7,95.00
kolkata,Picnic Garden,1100,2,2,4,12,62.00
kolkata,Tiljala,1000,2,2,5,10,55.00
kolkata,Santoshpur,1250,3,2,3,20,78.00
kolkata,Bagha Jatin,1100,2,2,2,25,58.00
kolkata,Panchasayar,1400,3,3,5,15,110.00
kolkata,Kamalgazi,1150,2,2,8,6,52.00
kolkata,Dakshineswar,1000,2,2,4,20,45.00
kolkata,Dunlop,1100,2,2,6,18,48.50
kolkata,Belgharia,1050,2,1,5,22,35.00
kolkata,Barrackpore,1300,3,2,4,25,42.00
kolkata,Howrah Maidan,1200,3,2,5,30,65.00
kolkata,Shibpur,1400,3,3,6,15,85.00
kolkata,Salkia,1100,2,2,4,28,52.00
kolkata,Uttarpara,1150,2,2,3,20,40.00
kolkata,Hindmotor,1000,2,1,4,25,32.00
kolkata,Konnagar,1050,2,2,5,18,30.00
kolkata,Rishra,1100,2,2,4,22,28.50
kolkata,Serampore,1250,3,2,3,30,35.00
kolkata,Maheshtala,1100,2,2,12,4,38.00
kolkata,Batanagar,1300,3,2,10,5,45.00
kolkata,Thakurpukur,1050,2,2,4,12,36.00
kolkata,Joka,1200,3,2,15,2,52.00
kolkata,Sarsuna,950,2,1,3,20,32.00
kolkata,Parnasree Pally,1150,2,2,4,25,55.00
kolkata,James Long Sarani,1400,3,3,6,15,92.00
kolkata,Taratala,1200,2,2,5,30,68.00
kolkata,New Alipore,1800,3,3,4,20,225.00
kolkata,Chetla,1300,2,2,3,28,110.00
