city,locality,area_sqft,bhk,bath,floor,age_years,price_lakhs
mumbai,bandra west,1200,3,3,12,5,450.5
mumbai,andheri east,650,1,1,4,10,135.2
mumbai,powai,950,2,2,18,3,240.0
mumbai,worli,2200,4,4,25,2,1100.0
mumbai,borivali west,750,2,2,7,12,165.5
mumbai,juhu,1800,3,3,4,8,750.0
mumbai,chembur,1100,2,2,11,15,210.0
mumbai,malad west,850,2,2,14,6,185.0
mumbai,dadar,1300,3,3,9,20,380.0
mumbai,kandivali east,700,1,1,20,4,145.5
mumbai,colaba,1500,3,2,3,25,850.0
mumbai,vikhroli,600,1,1,16,2,115.0
mumbai,lower parel,1400,3,3,30,5,520.0
mumbai,mulund west,1050,2,2,12,7,195.0
mumbai,santacruz west,1600,3,3,6,12,580.0
mumbai,goregaon east,900,2,2,22,4,210.0
mumbai,mahim,800,2,1,5,18,230.0
mumbai,khar west,1700,3,3,8,10,690.0
mumbai,ghatkopar east,750,2,2,10,14,170.0
mumbai,wadala,1250,3,2,15,6,310.0
mumbai,prabhadevi,2100,4,4,35,3,980.0
mumbai,dahisar,550,1,1,8,11,95.0
mumbai,kurla west,650,2,1,5,15,120.0
mumbai,vile parle east,1150,2,2,6,9,285.0
mumbai,bhandup west,780,2,2,14,5,140.0
mumbai,tardeo,2500,4,5,28,7,1450.0
mumbai,byculla,1350,3,3,19,4,360.0
mumbai,matunga,1000,2,2,7,22,320.0
mumbai,mira road,600,1,1,12,8,75.0
mumbai,mazgaon,950,2,2,10,18,190.0
mumbai,bandra east,1400,3,3,15,6,420.0
mumbai,andheri west,1100,2,2,12,12,310.0
mumbai,sion,850,2,2,9,20,205.0
mumbai,kalyan,750,2,2,4,10,65.0
mumbai,dombivli,550,1,1,6,15,45.0
mumbai,worli sea face,3200,5,5,38,1,2200.0
mumbai,kandivali west,920,2,2,14,10,175.0
mumbai,parel,1200,3,3,24,5,405.0
mumbai,cuffe parade,2800,5,6,22,28,1800.0
mumbai,tilak nagar,580,1,1,7,12,110.0
mumbai,lokhandwala,1650,3,3,15,14,550.0
mumbai,bkc,2400,4,4,10,5,1250.0
mumbai,jogeshwari west,820,2,2,18,8,160.0
mumbai,dahisar east,680,2,1,11,13,105.0
mumbai,mankhurd,450,1,1,3,25,65.0
mumbai,govandi,720,2,2,8,14,125.0
mumbai,sewri,1100,2,2,28,4,290.0
mumbai,versova,1550,3,3,11,18,620.0
mumbai,breach candy,3500,5,6,12,25,2800.0
mumbai,peddar road,2600,4,4,15,22,1950.0
