city,locality,area_sqft,bhk,bath,floor,age_years,price_lakhs
pune,Kothrud,1250,2,2,4,8,95.50
pune,Baner,1400,3,3,12,4,125.00
pune,Wakad,1100,2,2,8,5,78.20
pune,Hinjewadi,950,2,2,15,3,65.00
pune,Viman Nagar,1600,3,3,6,10,185.00
pune,Kharadi,1350,3,3,11,2,115.50
pune,Magarpatta,1500,3,3,9,12,160.00
pune,Hadapsar,1200,2,2,5,15,85.00
pune,Kalyani Nagar,2400,4,4,3,12,350.00
pune,Koregaon Park,2800,4,4,2,20,550.00
pune,Aundh,1450,3,3,4,18,175.00
pune,Balewadi,1300,2,2,10,1,92.00
pune,Pimple Saudagar,1250,2,2,7,8,88.50
pune,Pashan,1150,2,2,5,15,82.00
pune,Bavdhan,1400,3,3,8,6,110.00
pune,Wagholi,1050,2,2,12,3,52.50
pune,Undri,1100,2,2,14,4,58.00
pune,NIBM Road,1700,3,3,5,10,145.00
pune,Kondhwa,1300,3,2,6,12,88.00
pune,Wanowrie,1550,3,3,4,15,135.00
pune,Bibwewadi,1200,2,2,3,25,95.00
pune,Katraj,1000,2,2,7,12,62.00
pune,Dhankawadi,900,2,1,5,20,55.00
pune,Sinhagad Road,1150,2,2,10,8,72.50
pune,Warje,1050,2,2,4,14,68.00
pune,Karve Nagar,1250,2,2,3,22,115.00
pune,Erandwane,2000,4,4,2,25,290.00
pune,Shivajinagar,1800,3,3,5,28,260.00
pune,Model Colony,2200,4,4,4,15,420.00
pune,Prabhat Road,2500,4,4,2,30,580.00
pune,Boat Club Road,3500,5,5,8,10,950.00
pune,Salunke Vihar,1400,3,3,4,20,125.00
pune,Ravet,1100,2,2,12,2,68.00
pune,Pimple Nilakh,1500,3,3,9,7,148.00
pune,Vishrantwadi,1150,2,2,6,10,75.00
pune,Dhanori,1000,2,2,8,5,58.50
pune,Lohegaon,1050,2,2,10,3,55.00
pune,Kalas,900,2,1,4,15,48.00
pune,Yerwada,1100,2,2,3,25,72.00
